Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
P ,/, and/CC so/RB the/DT |    Courter/NN->NNP     | campaign/NN has/VBZ respo
r/NNP campaign/NN has/VBZ |   responded/NN->VBN    | with/IN its/PRP$ own/JJ P
N with/IN its/PRP$ own/JJ |   Pinocchio/NN->NNP    | commercial/NN ,/, produce
            In/IN this/DT |       one/CD->NN       | ,/, the/DT screen/NN fill
reen/NN fills/VBZ with/IN |  photographs/NN->NNS   | of/IN both/DT candidates/
1/-NONE- 's/VBZ really/RB |     lying/NN->VBG      | ?/. ''/'' asks/VBZ *T*-2/
ly/RB lying/VBG ?/. ''/'' |      asks/NN->VBZ      | *T*-2/-NONE- a/DT female/
sks/VBZ *T*-2/-NONE- a/DT |     female/NN->JJ      | voice/NN ./.
                    ``/`` |     Florio/NN->NNP     | 's/VBZ lying/VBG ,/, ''/'
         ``/`` Florio/NNP |      's/POS->VBZ       | lying/VBG ,/, ''/'' the/D
  ``/`` Florio/NNP 's/VBZ |     lying/NN->VBG      | ,/, ''/'' the/DT voice/NN
 the/DT voice/NN goes/VBZ |       on/IN->RP        | ,/, because/IN ``/`` the/
`` the/DT barrel/NN on/IN |    Courter/NN->NNP     | 's/POS land/NN .../: cont
ing/NN oil/NN ,/, was/VBD |    cleaned/NN->VBN     | *-1/-NONE- up/RP and/CC c
N *-1/-NONE- up/RP and/CC |    caused/VBN->VBD     | no/DT pollution/NN ./. ''
                  Mr./NNP |    Courter/NN->NNP     | 's/POS long/JJ nose/NN sh
NP 's/POS long/JJ nose/NN |    shrinks/NN->VBZ     | while/IN Mr./NNP Florio/N
inks/VBZ while/IN Mr./NNP |     Florio/NN->NNP     | 's/POS grows/VBZ ./.
Mr./NNP Florio/NNP 's/POS |     grows/NN->VBZ      | ./.
              Stephen/NNP |    Salmore/NN->NNP     | ,/, a/DT political/JJ sci
New/NNP Jersey/NNP 's/POS |    Eagleton/NN->NNP    | Institute/NNP ,/, says/VB
                          |    Barrels/NN->NNS     | were/VBD dumped/VBN *-1/-
     Barrels/NNS were/VBD |    dumped/VBD->VBN     | *-1/-NONE- on/IN the/DT C
N *-1/-NONE- on/IN the/DT |    Courter/NN->NNP     | property/NN ,/, a/DT comp
                          |      Even/NN->RB       | so/RB ,/, according/VBG t
cording/VBG to/TO Mr./NNP |    Salmore/NN->NNP     | ,/, the/DT ad/NN was/VBD 
he/DT ad/NN was/VBD ``/`` |  devastating/NN->VBG   | ''/'' because/IN it/PRP r
G ''/'' because/IN it/PRP |    raised/VBN->VBD     | questions/NNS about/IN Mr
ause/IN it/PRP raised/VBD |   questions/NN->NNS    | about/IN Mr./NNP Courter/
ions/NNS about/IN Mr./NNP |    Courter/NN->NNP     | 's/POS credibility/NN ./.
     But/CC it/PRP 's/VBZ |    building/NN->VBG    | on/IN a/DT long/JJ tradit
election/NN rout/NN of/IN |    Democrat/NN->NNP    | Frank/NNP O'Connor/NNP ,/
IN Democrat/NNP Frank/NNP |    O'Connor/NN->NNP    | ,/, GOP/NNP Gov./NNP Nels
rank/NNP O'Connor/NNP ,/, |      GOP/NN->NNP       | Gov./NNP Nelson/NNP Rocke
/NNP ,/, GOP/NNP Gov./NNP |     Nelson/NN->NNP     | Rockefeller/NNP of/IN New
P/NNP Gov./NNP Nelson/NNP |  Rockefeller/NN->NNP   | of/IN New/NNP York/NNP ap
NP of/IN New/NNP York/NNP |    appeared/NN->VBD    | in/IN person/NN *-1/-NONE
G ,/, ``/`` If/IN you/PRP |      want/VB->VBP      | *-2/-NONE- to/TO keep/VB 
/NN rates/NNS high/JJ ,/, |    O'Connor/NN->NNP    | is/VBZ your/PRP$ man/NN .
A/DT seat/NN on/IN the/DT |    Chicago/NN->NNP     | Board/NNP of/IN Trade/NNP
evious/JJ sale/NN last/JJ |     Friday/NN->NNP     | ./.
                          |     Seats/NN->NNS      | currently/RB are/VBP quot
/NNS currently/RB are/VBP |     quoted/NN->VBN     | *-1/-NONE- at/IN $/$ 331,
350,000/CD *U*/-NONE- ,/, |     asked/VBD->VBN     | */-NONE- ./.
                   The/DT |     record/NN->JJ      | price/NN for/IN a/DT full
-NONE- set/VBN *-1/-NONE- |      Aug./NN->NNP      | 31/CD ,/, 1987/CD ./.
se/JJ investment/NN in/IN |   Southeast/NN->NNP    | Asia/NNP is/VBZ propellin
heast/NNP Asia/NNP is/VBZ |   propelling/NN->VBG   | the/DT region/NN toward/I
ling/VBG the/DT region/NN |     toward/NN->IN      | economic/JJ integration/N
                          |   Interviews/NN->NNS   | with/IN analysts/NNS and/
NNS in/IN the/DT U.S./NNP |    suggest/NN->VBP     | that/IN Japanese/JJ capit
e/DT U.S./NNP suggest/VBP |      that/WDT->IN      | Japanese/JJ capital/NN ma
conomic/JJ cooperation/NN |      that/WDT->IN      | Southeast/JJ Asian/JJ pol
JJ cooperation/NN that/IN |    Southeast/NN->JJ    | Asian/JJ politicians/NNS 
n/NN that/IN Southeast/JJ |      Asian/NN->JJ      | politicians/NNS have/VBP 
 politicians/NNS have/VBP |    pursued/NN->VBN     | *T*-2/-NONE- in/IN fits/N
ed/VBN *T*-2/-NONE- in/IN |      fits/NN->NNS      | and/CC starts/NNS for/IN 
NE- in/IN fits/NNS and/CC |     starts/NN->NNS     | for/IN decades/NNS ./.
 region/NN also/RB is/VBZ |    sparking/NN->VBG    | fears/NNS of/IN dominatio
f/IN domination/NN and/CC |     posing/NN->VBG     | fresh/JJ policy/NN questi
tion/NN and/CC posing/VBG |      fresh/NN->JJ      | policy/NN questions/NNS .
ng/VBG fresh/JJ policy/NN |   questions/NN->NNS    | ./.
nese/JJ funds/NNS has/VBZ |      set/VBD->VBN      | in/IN motion/NN ``/`` a/D
/NN ``/`` a/DT process/NN |    whereby/NN->WRB     | these/DT economies/NNS wi
s/NN whereby/WRB these/DT |   economies/NN->NNS    | will/MD be/VB knitted/VBN
onomies/NNS will/MD be/VB |    knitted/NN->VBN     | *-1/-NONE- together/RP by
/RP by/IN the/DT great/JJ |    Japanese/NN->JJ     | investment/NN machine/NN 
- *T*-3/-NONE- Robert/NNP |    Hormats/NN->NNP     | ,/, vice/NN chairman/NN o
JJ companies/NNS have/VBP |    tripled/NN->VBN     | their/PRP$ commitments/NN
BP tripled/VBN their/PRP$ |  commitments/NN->NNS   | in/IN Asia/NNP to/TO $/$ 
NN 's/POS Board/NNP of/IN |   Investment/NN->NNP   | approved/VBD $/$ 705.6/CD
s/POS commitment/NN in/IN |   Southeast/NN->NNP    | Asia/NNP also/RB includes
/NNP also/RB includes/VBZ |      steep/NN->JJ      | increases/NNS in/IN forei
 Asia/NNP 's/POS other/JJ |    cash-rich/NN->JJ    | countries/NNS are/VBP fol
/JJ countries/NNS are/VBP |   following/NN->VBG    | Japan/NNP 's/POS lead/NN 
wing/VBG Japan/NNP 's/POS |      lead/VB->NN       | and/CC pumping/VBG capita
NNP 's/POS lead/NN and/CC |    pumping/NN->VBG     | capital/NN into/IN the/DT
 Korea/NNP ,/, rising/VBG |     wages/NN->NNS      | are/VBP forcing/VBG manuf
ing/VBG wages/NNS are/VBP |    forcing/NN->VBG     | manufacturers/NNS to/TO s
NS to/TO seek/VB other/JJ |    overseas/RB->JJ     | sites/NNS for/IN labor-in
k/VB other/JJ overseas/JJ |     sites/NN->NNS      | for/IN labor-intensive/JJ
rseas/JJ sites/NNS for/IN | labor-intensive/NN->JJ | production/NN ./.
 These/DT nations/NNS ,/, |     known/NN->VBN      | */-NONE- as/IN Asia/NNP '
NP 's/POS ``/`` little/JJ |     tigers/NN->NNS     | ,/, ''/'' also/RB are/VBP
,/, ''/'' also/RB are/VBP |  contributing/NN->VBG  | to/TO Southeast/NNP Asia/
BP contributing/VBG to/TO |   Southeast/NN->NNP    | Asia/NNP 's/POS integrati
ence/NN will/MD remain/VB |   subordinate/NN->JJ   | to/TO Japan/NNP 's/POS ./
                   For/IN |    recipient/NN->JJ    | countries/NNS such/JJ as/
/DT investment/NN will/MD |    provide/VBP->VB     | needed/JJ jobs/NNS and/CC
ent/NN will/MD provide/VB |     needed/VBD->JJ     | jobs/NNS and/CC spur/VB g
l/MD provide/VB needed/JJ |      jobs/NN->NNS      | and/CC spur/VB growth/NN 
needed/JJ jobs/NNS and/CC |      spur/NN->VB       | growth/NN ./.
                   But/CC |      Asian/NN->JJ      | nations/NNS '/POS harsh/J
ries/NNS of/IN their/PRP$ |    military/NN->JJ     | domination/NN by/IN Japan
 of/IN this/DT century/NN |      make/VB->VBP      | them/PRP fearful/JJ of/IN
tury/NN make/VBP them/PRP |     fearful/NN->JJ     | of/IN */-NONE- falling/VB
fearful/JJ of/IN */-NONE- |    falling/NN->VBG     | under/IN Japanese/JJ econ
                          |     Because/NN->IN     | of/IN budget/NN constrain
ecause/IN of/IN budget/NN |  constraints/NN->NNS   | in/IN Washington/NNP ,/, 
n/NNP ,/, the/DT U.S./NNP |   encourages/NN->VBZ   | Japan/NNP to/TO share/VB 
o/TO share/VB economic/JJ |    burdens/NN->NNS     | in/IN the/DT region/NN ./
            But/CC it/PRP |    resists/NN->VBZ     | *-1/-NONE- yielding/VBG p
             In/IN the/DT |     coming/NN->VBG     | decade/NN ,/, analysts/NN
0/-NONE- *T*-2/-NONE- ,/, |  U.S.-Japanese/NN->JJ  | relations/NNS will/MD be/
-1/-NONE- as/IN Tokyo/NNP |     comes/NN->VBZ      | to/TO terms/NNS with/IN i
         Japan/NNP 's/POS |    swelling/NN->VBG    | investment/NN in/IN South
g/VBG investment/NN in/IN |   Southeast/NN->NNP    | Asia/NNP is/VBZ part/NN o
             In/IN the/DT |      past/JJ->NN       | decade/NN ,/, Japanese/JJ
nese/JJ manufacturers/NNS |  concentrated/NN->VBD  | on/IN domestic/JJ product
             In/IN the/DT |     1990s/NN->NNS      | ,/, *-2/-NONE- spurred/VB
 1990s/NNS ,/, *-2/-NONE- |    spurred/NN->VBN     | *-1/-NONE- by/IN rising/V
VB themselves/PRP into/IN | multinationals/NN->NNS | with/IN plants/NNS around
ultinationals/NNS with/IN |     plants/NN->NNS     | around/IN the/DT world/NN
ls/NNS with/IN plants/NNS |     around/RB->IN      | the/DT world/NN ./.
 the/DT investment/NN ,/, |    Southeast/NN->JJ    | Asian/JJ nations/NNS will
tment/NN ,/, Southeast/JJ |      Asian/NN->JJ      | nations/NNS will/MD move/
an/JJ nations/NNS will/MD |      move/NN->VB       | *-1/-NONE- to/TO accommod
 move/VB *-1/-NONE- to/TO |   accommodate/NN->VB   | Japanese/JJ business/NN .
ons/NNS '/POS internal/JJ |   decisions/NN->NNS    | ``/`` will/MD be/VB made/
NE- */-NONE- not/RB to/TO |     offend/NN->VB      | their/PRP$ largest/JJS ai
VB their/PRP$ largest/JJS |       aid/VB->NN       | donor/NN ,/, largest/JJS 
 *T*-2/-NONE- Richard/NNP |    Drobnick/NN->NNP    | ,/, director/NN of/IN the
ty/NNP of/IN Southern/NNP |   California/NN->NNP   | 's/POS Graduate/NNP Schoo
NNP California/NNP 's/POS |    Graduate/NN->NNP    | School/NNP of/IN Business
a/NNP 's/POS Graduate/NNP |     School/NN->NNP     | of/IN Business/NNP ./.
elp/VB *-1/-NONE- turn/VB |   Southeast/NN->NNP    | Asia/NNP into/IN a/DT mor
NNP into/IN a/DT more/RBR |    cohesive/NN->JJ     | economic/JJ region/NN ./.
0/-NONE- *T*-2/-NONE- ,/, |      Asian/NN->JJ      | cooperation/NN is/VBZ n't
ikely/JJ *-1/-NONE- to/TO |    parallel/NN->VB     | the/DT European/NNP Commo
 to/TO parallel/VB the/DT |    European/JJ->NNP    | Common/NNP Market/NNP app
el/VB the/DT European/NNP |     Common/NN->NNP     | Market/NNP approach/NN ./
T European/NNP Common/NNP |     Market/NN->NNP     | approach/NN ./.
                          |     Rather/NN->RB      | ,/, Japanese/JJ investmen
/JJ investment/NN will/MD |      spur/NN->VB       | integration/NN of/IN cert
ation/NN of/IN certain/JJ |    sectors/NN->NNS     | ,/, says/VBZ 0/-NONE- *T*
NE- *T*-1/-NONE- Kent/NNP |     Calder/NN->NNP     | ,/, a/DT specialist/NN in
 a/DT specialist/NN in/IN |      East/NN->JJ       | Asian/JJ economies/NNS at
ecialist/NN in/IN East/JJ |      Asian/NN->JJ      | economies/NNS at/IN the/D
NN in/IN East/JJ Asian/JJ |   economies/NN->NNS    | at/IN the/DT Woodrow/NNP 
conomies/NNS at/IN the/DT |    Woodrow/NN->NNP     | Wilson/NNP School/NNP for
 at/IN the/DT Woodrow/NNP |     Wilson/NN->NNP     | School/NNP for/IN Public/
DT Woodrow/NNP Wilson/NNP |     School/NN->NNP     | for/IN Public/NNP and/CC 
 for/IN Public/NNP and/CC |  Internatonal/NN->NNP  | Affairs/NNP at/IN Princet
nal/NNP Affairs/NNP at/IN |   Princeton/NN->NNP    | University/NNP ./.
 television/NN picture/NN |     tubes/NN->NNS      | in/IN Japan/NNP ,/, assem
s/NNS in/IN Japan/NNP ,/, |    assemble/NN->VB     | the/DT sets/NNS in/IN Mal
NP ,/, assemble/VB the/DT |     sets/VBZ->NNS      | in/IN Malaysia/NNP and/CC
in/IN Malaysia/NNP and/CC |     export/NN->VB      | them/PRP to/TO Indonesia/
 export/VB them/PRP to/TO |   Indonesia/NN->NNP    | ./.
l/MD be/VB */-NONE- to/TO |      pull/NN->VB       | Asia/NN together/RP not/R
VB */-NONE- to/TO pull/VB |      Asia/NNP->NN      | together/RP not/RB as/IN 
NE- to/TO pull/VB Asia/NN |    together/RB->RP     | not/RB as/IN a/DT common/
 a/DT common/JJ market/NN |       but/RB->CC       | as/IN an/DT integrated/JJ
ket/NN but/CC as/IN an/DT |   integrated/NN->JJ    | production/NN zone/NN ,/,
 Sachs/NNP 's/POS Mr./NNP |    Hormats/NN->NNP     | ./.
                          |   Countries/NN->NNS    | in/IN the/DT region/NN al
ning/VBG *-1/-NONE- to/TO |    consider/VBP->VB    | a/DT framework/NN for/IN 
 a/DT framework/NN for/IN |     closer/NN->JJR     | economic/JJ and/CC politi
omic/JJ and/CC foreign/JJ |   ministers/NN->NNS    | of/IN 12/CD Asian/JJ and/
ministers/NNS of/IN 12/CD |      Asian/NN->JJ      | and/CC Pacific/NNP nation
 week/NN *-1/-NONE- to/TO |     discuss/NN->VB     | global/JJ trade/NN issues
al/JJ trade/NN issues/NNS |       as/IN->RB        | well/RB as/IN regional/JJ
s/NNS as/RB well/RB as/IN |    regional/NN->JJ     | matters/NNS such/JJ as/IN
well/RB as/IN regional/JJ |    matters/VBZ->NNS    | such/JJ as/IN transportat
                          |  Participants/NN->NNS  | will/MD include/VB the/DT
 Participants/NNS will/MD |    include/VBP->VB     | the/DT U.S./NNP ,/, Austr
 Korea/NNP and/CC New/NNP |    Zealand/NN->NNP     | as/RB well/RB as/IN the/D
nd/CC New/NNP Zealand/NNP |       as/IN->RB        | well/RB as/IN the/DT six/
/DT Association/NNP of/IN |   Southeast/NN->NNP    | Asian/NNP Nations/NNPS --
n/NNP of/IN Southeast/NNP |     Asian/NN->NNP      | Nations/NNPS --/: Thailan
N Southeast/NNP Asian/NNP |    Nations/NN->NNPS    | --/: Thailand/NNP ,/, Mal
NNP ,/, Singapore/NNP ,/, |   Indonesia/NN->NNP    | ,/, the/DT Philippines/NN
 Indonesia/NNP ,/, the/DT | Philippines/NNP->NNPS  | and/CC Brunei/NNP ./.
T Philippines/NNPS and/CC |     Brunei/NN->NNP     | ./.
/NN for/IN cooperation/NN |     around/RB->IN      | the/DT Pacific/NNP rim/NN
of/IN State/NNP James/NNP |     Baker/NN->NNP      | ,/, following/VBG up/RP a
P James/NNP Baker/NNP ,/, |   following/NN->VBG    | up/RP a/DT proposal/NN ma
- in/IN January/NNP by/IN |   Australian/JJ->NNP   | Prime/NNP Minister/NNP Bo
NP Prime/NNP Minister/NNP |      Bob/NN->NNP       | Hawke/NNP ./.
/NNP Minister/NNP Bob/NNP |     Hawke/NN->NNP      | ./.
                   The/DT |     Baker/NN->NNP      | proposal/NN reasserts/VBZ
/DT Baker/NNP proposal/NN |   reasserts/NN->VBZ    | Washington/NNP 's/POS int
tention/NN */-NONE- to/TO |    continue/VBP->VB    | *-1/-NONE- playing/VBG a/
 ``/`` In/IN Asia/NNP ,/, |       as/RB->IN        | in/IN Europe/NNP ,/, a/DT
DT new/JJ order/NN is/VBZ |     taking/NN->VBG     | shape/NN ,/, ''/'' Mr./NN
hape/NN ,/, ''/'' Mr./NNP |     Baker/NN->NNP      | said/VBD 0/-NONE- *T*-1/-
/NNP ,/, with/IN its/PRP$ |    regional/NN->JJ     | friends/NNS ,/, must/MD p
h/IN its/PRP$ regional/JJ |    friends/NN->NNS     | ,/, must/MD play/VB a/DT 
J friends/NNS ,/, must/MD |      play/NN->VB       | a/DT crucial/JJ role/NN i
 ,/, must/MD play/VB a/DT |     crucial/NN->JJ     | role/NN in/IN */-NONE- de
JJ role/NN in/IN */-NONE- |   designing/NN->VBG    | its/PRP$ architecture/NN 
nfluence/NN will/MD be/VB |    difficult/NN->JJ    | in/IN the/DT face/NN of/I
 Japan/NNP not/RB only/RB |   outstrips/NN->VBZ    | the/DT U.S./NNP in/IN inv
./NNP in/IN investment/NN |     flows/NN->NNS      | but/CC also/RB outranks/V
N investment/NN flows/NNS |       but/RB->CC       | also/RB outranks/VBZ it/P
 flows/NNS but/CC also/RB |    outranks/NN->VBZ    | it/PRP in/IN trade/NN wit
trade/NN with/IN most/JJS |    Southeast/NN->JJ    | Asian/JJ countries/NNS -L
/IN most/JJS Southeast/JJ |      Asian/NN->JJ      | countries/NNS -LRB-/-LRB-
though/IN the/DT U.S./NNP |    remains/NN->VBZ     | the/DT leading/VBG trade/
                          |    Moreover/JJR->RB    | ,/, the/DT Japanese/JJ go
rld/NN 's/POS largest/JJS |       aid/VB->NN       | donor/NN ,/, is/VBZ pumpi
id/NN donor/NN ,/, is/VBZ |    pumping/NN->VBG     | far/RB more/JJR assistanc
is/VBZ pumping/VBG far/RB |     more/RBR->JJR      | assistance/NN *ICH*-2/-NO
IN U.S./NNP officials/NNS |     voice/NN->VBP      | optimism/NN about/IN Japa
about/IN Japan/NNP 's/POS |    enlarged/NN->JJ     | role/NN in/IN Asia/NNP ,/
/NNP ,/, they/PRP also/RB |     convey/NN->VBP     | an/DT undertone/NN of/IN 
/NN of/IN the/DT U.S./NNP |      that/WDT->IN      | Japan/NNP has/VBZ *-2/-NO
